date,year,month,product,region,channel,seasonality_index,sentiment_index,fx_rate,inflation_index,promo_depth,capacity_utilization,stockout_flag,units,price,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income
2023-01-01,2023,1,Undefined,Undefined,Undefined,0.8,1.0457,0.9899,1.0033,0.3249,0.6684,0,40753.0,9.49,386623.92,201513.54,185110.38,37115.9,46394.87,101599.61,45000.0,56599.61,18000.0,9649.9,28949.71
2023-02-01,2023,2,Undefined,Undefined,Undefined,0.78,0.8783,0.9816,1.0067,0.1402,0.5705,0,34788.0,10.06,349970.97,183668.13,166302.84,33597.21,41996.52,90709.11,45000.0,45709.11,18000.0,6927.28,20781.83
2023-03-01,2023,3,Undefined,Undefined,Undefined,0.82,1.0213,0.9935,1.01,0.1671,0.6303,0,38432.0,10.02,384965.35,201986.8,182978.55,36956.67,46195.84,99826.03,45000.0,54826.03,18000.0,9206.51,27619.53
2023-04-01,2023,4,Undefined,Undefined,Undefined,0.85,1.157,1.0016,1.0134,0.1612,0.675,0,41157.0,10.07,414357.93,218892.79,195465.15,39778.36,49722.95,105963.83,45000.0,60963.83,18000.0,10740.96,32222.87
2023-05-01,2023,5,Undefined,Undefined,Undefined,0.9,0.8251,1.011,1.0168,0.1087,0.629,0,38350.0,10.27,393859.6,209614.11,184245.5,37810.52,47263.15,99171.82,45000.0,54171.82,18000.0,9042.96,27128.87
2023-06-01,2023,6,Undefined,Undefined,Undefined,0.92,0.6735,1.0208,1.0202,0.0853,0.6028,0,36757.0,10.38,381624.35,204667.46,176956.89,36635.94,45794.92,94526.03,45000.0,49526.03,18000.0,7881.51,23644.53
2023-07-01,2023,7,Undefined,Undefined,Undefined,0.88,0.7743,1.0723,1.0236,0.2211,0.6205,0,37835.0,10.09,381647.06,210870.93,170776.13,36638.12,45797.65,88340.36,45000.0,43340.36,18000.0,6335.09,19005.27
2023-08-01,2023,8,Undefined,Undefined,Undefined,0.9,0.7833,1.062,1.027,0.2249,0.6387,0,38946.0,10.06,391850.41,215841.13,176009.27,37617.64,47022.05,91369.59,45000.0,46369.59,18000.0,7092.4,21277.19
2023-09-01,2023,9,Undefined,Undefined,Undefined,0.95,0.835,1.0492,1.0304,0.2051,0.6812,0,41534.0,10.11,419734.93,230178.96,189555.97,40294.55,50368.19,98893.23,45000.0,53893.23,18000.0,8973.31,26919.92
2023-10-01,2023,10,Undefined,Undefined,Undefined,1.05,0.7483,1.0294,1.0338,0.1108,0.7061,0,43055.0,10.37,446559.1,242875.83,203683.26,42869.67,53587.09,107226.5,45000.0,62226.5,18000.0,11056.62,33169.87
2023-11-01,2023,11,Undefined,Undefined,Undefined,1.25,0.9431,1.0439,1.0373,0.2904,0.9621,0,58659.0,9.84,577242.66,317143.4,260099.26,55415.3,69269.12,135414.85,45000.0,90414.85,18000.0,18103.71,54311.14
2023-12-01,2023,12,Undefined,Undefined,Undefined,1.6,1.074,1.0712,1.0407,0.0617,1.0,1,60972.0,10.66,650214.93,363297.11,286917.81,62420.63,78025.79,146471.39,45000.0,101471.39,18000.0,20867.85,62603.54
2024-01-01,2024,1,Undefined,Undefined,Undefined,0.8,1.0654,1.0681,1.0442,0.2513,0.6201,0,37810.0,10.05,380005.11,212475.71,167529.4,36480.49,45600.61,85448.3,45000.0,40448.3,18000.0,5612.07,16836.22
2024-02-01,2024,2,Undefined,Undefined,Undefined,0.78,1.2181,1.0473,1.0477,0.1888,0.6176,0,37659.0,10.21,384659.04,213221.26,171437.78,36927.27,46159.08,88351.42,45000.0,43351.42,18000.0,6337.86,19013.57
2024-03-01,2024,3,Undefined,Undefined,Undefined,0.82,1.2337,1.0272,1.0512,0.0654,0.6212,0,37876.0,10.58,400555.34,220181.72,180373.62,38453.31,48066.64,93853.67,45000.0,48853.67,18000.0,7713.42,23140.25
2024-04-01,2024,4,Undefined,Undefined,Undefined,0.85,1.0464,1.0425,1.0547,0.272,0.6639,0,40478.0,9.96,403013.25,223885.1,179128.16,38689.27,48361.59,92077.3,45000.0,47077.3,18000.0,7269.32,21807.97
