date,year,month,product,region,seasonality_index,sentiment_index,fx_rate,inflation_index,promo_depth,capacity_utilization,stockout_flag,units,price,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income
2024-01-01,2024,1,Undefined,Undefined,1.0,1.0289,1.0385,1.0058,0.0876,0.7288,0,103722.0,12.25,1270812.47,663520.84,607291.63,71165.5,152497.5,383628.63,45000.0,338628.63,18000.0,80157.16,240471.47
2024-02-01,2024,2,Undefined,Undefined,1.0,0.8591,1.0494,1.0117,0.301,0.7561,0,107602.0,11.5,1237558.96,652694.53,584864.43,69303.3,148507.08,367054.05,45000.0,322054.05,18000.0,76013.51,228040.54
2024-03-01,2024,3,Undefined,Undefined,1.0,0.912,1.0634,1.0176,0.5823,0.8741,0,124389.0,10.49,1305129.65,696456.12,608673.53,73087.26,156615.56,378970.71,45000.0,333970.71,18000.0,78992.68,236978.03
2024-04-01,2024,4,Undefined,Undefined,1.0,1.1742,1.1063,1.0235,0.3029,0.8105,0,115346.0,11.71,1350167.56,740290.09,609877.47,75609.38,162020.11,372247.98,45000.0,327247.98,18000.0,77312.0,231935.99
2024-05-01,2024,5,Undefined,Undefined,1.0,0.5158,1.0641,1.0295,0.0933,0.6066,0,86326.0,12.41,1071351.51,576618.52,494732.99,59995.68,128562.18,306175.13,45000.0,261175.13,18000.0,60793.78,182381.35
2024-06-01,2024,6,Undefined,Undefined,1.0,1.2264,1.061,1.0355,0.1059,0.7606,0,108245.0,12.38,1339938.61,722926.19,617012.42,75036.56,160792.63,381183.22,45000.0,336183.22,18000.0,79545.81,238637.42
2024-07-01,2024,7,Undefined,Undefined,1.0,1.0095,1.0776,1.0416,0.1291,0.7153,0,101797.0,12.37,1258829.46,688147.48,570681.98,70494.45,151059.54,349127.99,45000.0,304127.99,18000.0,71532.0,214595.99
2024-08-01,2024,8,Undefined,Undefined,1.0,0.7984,1.0557,1.0476,0.2555,0.7123,0,101366.0,11.84,1200059.21,650963.97,549095.24,67203.32,144007.11,337884.82,45000.0,292884.82,18000.0,68721.2,206163.61
2024-09-01,2024,9,Undefined,Undefined,1.0,0.4824,1.0882,1.0537,0.2271,0.6233,0,88703.0,12.07,1070641.91,593489.72,477152.19,59955.95,128477.03,288719.21,45000.0,243719.21,18000.0,56429.8,169289.41
2024-10-01,2024,10,Undefined,Undefined,1.0,0.9379,1.0707,1.0599,0.0689,0.6776,0,96428.0,12.66,1220461.73,672990.3,547471.43,68345.86,146455.41,332670.16,45000.0,287670.16,18000.0,67417.54,202252.62
2024-11-01,2024,11,Undefined,Undefined,1.0,1.1897,1.1014,1.0661,0.2887,0.7937,0,112953.0,11.92,1346332.69,757817.67,588515.02,75394.63,161559.92,351560.47,45000.0,306560.47,18000.0,72140.12,216420.35
2024-12-01,2024,12,Undefined,Undefined,1.0,1.5778,1.1071,1.0723,0.05,0.7889,0,112266.0,12.9,1448162.07,821001.73,627160.35,81097.08,173779.45,372283.82,45000.0,327283.82,18000.0,77320.96,231962.87
