date,year,month,product,channel,seasonality_index,sentiment_index,fx_rate,inflation_index,promo_depth,capacity_utilization,stockout_flag,units,price,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income
2024-01-01,2024,1,Undefined,Undefined,0.72,1.0513,1.0005,1.0033,0.1085,0.5018,0,46733.0,38.59,1803334.11,813123.35,990210.76,360666.82,360666.82,268877.12,75000.0,193877.12,28000.0,38151.74,127725.38
2024-02-01,2024,2,Undefined,Undefined,0.68,0.97,1.0057,1.0067,0.4538,0.5596,0,52119.0,34.56,1801040.08,816450.05,984590.03,360208.02,360208.02,264174.0,75000.0,189174.0,28000.0,37070.02,124103.98
2024-03-01,2024,3,Undefined,Undefined,0.78,1.296,0.9949,1.01,0.3085,0.6674,0,62149.0,36.23,2251713.28,1023085.97,1228627.31,450342.66,450342.66,327941.99,75000.0,252941.99,28000.0,51736.66,173205.34
2024-04-01,2024,4,Undefined,Undefined,0.85,1.029,0.9878,1.0134,0.2204,0.6256,0,58257.0,37.26,2170434.44,992684.72,1177749.72,434086.89,434086.89,309575.94,75000.0,234575.94,28000.0,47512.47,159063.48
2024-05-01,2024,5,Undefined,Undefined,0.9,1.1012,0.9933,1.0168,0.1151,0.6382,0,59435.0,38.63,2296084.75,1048514.37,1247570.38,459216.95,459216.95,329136.48,75000.0,254136.48,28000.0,52011.39,174125.09
2024-06-01,2024,6,Undefined,Undefined,0.88,1.0587,0.9897,1.0202,0.2034,0.645,0,60071.0,37.58,2257591.95,1035426.45,1222165.49,451518.39,451518.39,319128.71,75000.0,244128.71,28000.0,49709.6,166419.11
2024-07-01,2024,7,Undefined,Undefined,0.85,1.0015,0.9893,1.0236,0.1534,0.5907,0,55008.0,38.23,2102936.79,966674.26,1136262.53,420587.36,420587.36,295087.81,75000.0,220087.81,28000.0,44180.2,147907.62
2024-08-01,2024,8,Undefined,Undefined,0.92,1.1291,0.9935,1.027,0.4206,0.7832,0,72943.0,35.11,2560906.28,1176397.34,1384508.93,512181.26,512181.26,360146.42,75000.0,285146.42,28000.0,59143.68,198002.75
2024-09-01,2024,9,Undefined,Undefined,0.98,0.8786,0.9809,1.0304,0.259,0.688,0,64069.0,36.97,2368370.05,1099028.0,1269342.05,473674.01,473674.01,321994.03,75000.0,246994.03,28000.0,50368.63,168625.4
2024-10-01,2024,10,Undefined,Undefined,1.05,0.7908,0.9741,1.0338,0.1466,0.6663,0,62049.0,38.29,2375947.57,1109594.04,1266353.52,475189.51,475189.51,315974.5,75000.0,240974.5,28000.0,48984.13,163990.36
2024-11-01,2024,11,Undefined,Undefined,1.3,0.8294,0.9736,1.0373,0.1097,0.8199,0,76353.0,38.78,2960991.84,1386100.13,1574891.71,592198.37,592198.37,390494.97,75000.0,315494.97,28000.0,66123.84,221371.13
2024-12-01,2024,12,Undefined,Undefined,1.95,1.081,0.9649,1.0407,0.229,1.0,1,93128.0,37.3,3473504.08,1638340.95,1835163.13,694700.82,694700.82,445761.5,75000.0,370761.5,28000.0,78835.14,263926.35
