date,year,month,scenario,units,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income,gross_margin_pct,ebitda_margin_pct,net_margin_pct
2024-01-01,2024,1,Base,46733.0,1803334.11,813123.35,990210.76,360666.82,360666.82,268877.12,75000.0,193877.12,28000.0,38151.74,127725.38,54.91,14.91,7.08
2024-02-01,2024,2,Base,52119.0,1801040.08,816450.05,984590.03,360208.02,360208.02,264174.0,75000.0,189174.0,28000.0,37070.02,124103.98,54.67,14.67,6.89
2024-03-01,2024,3,Base,62149.0,2251713.28,1023085.97,1228627.31,450342.66,450342.66,327941.99,75000.0,252941.99,28000.0,51736.66,173205.34,54.56,14.56,7.69
2024-04-01,2024,4,Base,58257.0,2170434.44,992684.72,1177749.72,434086.89,434086.89,309575.94,75000.0,234575.94,28000.0,47512.47,159063.48,54.26,14.26,7.33
2024-05-01,2024,5,Base,59435.0,2296084.75,1048514.37,1247570.38,459216.95,459216.95,329136.48,75000.0,254136.48,28000.0,52011.39,174125.09,54.33,14.33,7.58
2024-06-01,2024,6,Base,60071.0,2257591.95,1035426.45,1222165.49,451518.39,451518.39,319128.71,75000.0,244128.71,28000.0,49709.6,166419.11,54.14,14.14,7.37
2024-07-01,2024,7,Base,55008.0,2102936.79,966674.26,1136262.53,420587.36,420587.36,295087.81,75000.0,220087.81,28000.0,44180.2,147907.62,54.03,14.03,7.03
2024-08-01,2024,8,Base,72943.0,2560906.28,1176397.34,1384508.93,512181.26,512181.26,360146.42,75000.0,285146.42,28000.0,59143.68,198002.75,54.06,14.06,7.73
2024-09-01,2024,9,Base,64069.0,2368370.05,1099028.0,1269342.05,473674.01,473674.01,321994.03,75000.0,246994.03,28000.0,50368.63,168625.4,53.6,13.6,7.12
2024-10-01,2024,10,Base,62049.0,2375947.57,1109594.04,1266353.52,475189.51,475189.51,315974.5,75000.0,240974.5,28000.0,48984.13,163990.36,53.3,13.3,6.9
2024-11-01,2024,11,Base,76353.0,2960991.84,1386100.13,1574891.71,592198.37,592198.37,390494.97,75000.0,315494.97,28000.0,66123.84,221371.13,53.19,13.19,7.48
2024-12-01,2024,12,Base,93128.0,3473504.08,1638340.95,1835163.13,694700.82,694700.82,445761.5,75000.0,370761.5,28000.0,78835.14,263926.35,52.83,12.83,7.6
