date,year,month,product,region,scenario,channel,subregion,seasonality_index,sentiment_index,fx_rate,inflation_index,promo_depth,capacity_utilization,stockout_flag,units,price,revenue,cogs,gross_profit,marketing_expense,other_opex,ebitda,depreciation,ebit,interest,taxes,net_income
2023-01-01,2023,1,Apparel,Northeast US,Base,Physical Stores,Noida,1.0,1.0457,0.9937,1.0033,0.1659,0.6682,0,50175.0,42.57,2135961.06,963104.84,1172856.22,213596.11,427192.21,532067.9,50.0,532017.9,18.67,122359.82,409639.41
2023-01-01,2023,1,Apparel,Northeast US,Base,Physical Stores,Gurugram,1.0,1.0457,0.9937,1.0033,0.1723,0.6706,0,50356.0,42.48,2139386.19,964649.23,1174736.96,213938.62,427877.24,532921.1,50.0,532871.1,18.67,122556.06,410296.37
2023-01-01,2023,1,Apparel,Northeast US,Base,Physical Stores,Delhi,1.0,1.0457,0.9937,1.0033,0.3774,0.7567,0,56820.0,39.73,2257348.81,1017838.58,1239510.23,225734.88,451469.76,562305.59,50.0,562255.59,18.67,129314.49,432922.43
2023-01-01,2023,1,Apparel,Northeast US,Base,E-Commerce,Noida,1.0,1.0457,0.9937,1.0033,0.3053,0.7245,0,54407.0,40.7,2214232.28,998397.34,1215834.95,221423.23,442846.46,551565.26,50.0,551515.26,18.67,126844.22,424652.38
2023-01-01,2023,1,Apparel,Northeast US,Base,E-Commerce,Gurugram,1.0,1.0457,0.9937,1.0033,0.1287,0.6543,0,49130.0,43.07,2116071.49,954136.64,1161934.86,211607.15,423214.3,527113.41,50.0,527063.41,18.67,121220.29,405824.45
2023-01-01,2023,1,Apparel,Northeast US,Base,E-Commerce,Delhi,1.0,1.0457,0.9937,1.0033,0.0373,0.622,0,46707.0,44.3,2069030.27,932925.75,1136104.52,206903.03,413806.05,515395.44,50.0,515345.44,18.67,118525.16,396801.62
2023-01-01,2023,1,Apparel,Northeast US,Base,Mobile App,Noida,1.0,1.0457,0.9937,1.0033,0.1133,0.6486,0,48708.0,43.28,2107981.98,950489.08,1157492.91,210798.2,421596.4,525098.31,50.0,525048.31,18.67,120756.82,404272.83
2023-01-01,2023,1,Apparel,Northeast US,Base,Mobile App,Gurugram,1.0,1.0457,0.9937,1.0033,0.1178,0.6503,0,48831.0,43.22,2110336.08,951550.54,1158785.54,211033.61,422067.22,525684.72,50.0,525634.72,18.67,120891.69,404724.36
2023-01-01,2023,1,Apparel,Northeast US,Base,Mobile App,Delhi,1.0,1.0457,0.9937,1.0033,0.3,0.7223,0,54236.0,40.77,2211134.25,997000.43,1214133.82,221113.42,442226.85,550793.54,50.0,550743.54,18.67,126666.72,424058.15
2023-01-01,2023,1,Apparel,Northeast US,Base,Wholesale,Noida,1.0,1.0457,0.9937,1.0033,0.4305,0.7817,0,58703.0,39.01,2290306.47,1032699.19,1257607.28,229030.65,458061.29,570515.34,50.0,570465.34,18.67,131202.74,439243.94
